File; Travel_Time_Min; Travel_Time_Max; Profit_Min; Profit_Max
a280_n1395_uncorr_01.txt; 2587.8082200000003468; 6897.7666364153992618; 0; 235214; 
a280_n1395_uncorr_02.txt; 2587.9299300000002404; 7151.2284631255588465; 0; 335947; 
a280_n1395_uncorr_03.txt; 2587.8082200000003468; 7257.3884432029244635; 0; 410137; 
a280_n2790_uncorr_01.txt; 2587.9299300000002404; 7208.5452332828153885; 0; 474980; 
a280_n2790_uncorr_02.txt; 2587.8082200000003468; 7163.6752902770776927; 0; 680079; 
a280_n2790_uncorr_03.txt; 2587.9299300000002404; 7300.9114844312734931; 0; 835957; 
a280_n279_uncorr_01.txt; 2587.809635417037498; 6125.2273822277657018; 0; 46207; 
a280_n279_uncorr_02.txt; 2587.9299300000002404; 6875.509304889554187; 0; 63755; 
a280_n279_uncorr_03.txt; 2587.8082200000003468; 6990.0546277504518002; 0; 77755; 
a280_n837_uncorr_01.txt; 2587.9299300000006951; 6600.9199470231269515; 0; 138031; 
a280_n837_uncorr_02.txt; 2587.8082200000003468; 7036.4114524789674761; 0; 196111; 
a280_n837_uncorr_03.txt; 2587.9299300000002404; 6974.4399092554704112; 0; 239617; 
berlin52_n153_uncorr_01.txt; 7544.3659000000006927; 15352.270906588459184; 0; 24523; 
berlin52_n153_uncorr_02.txt; 7544.3659000000006927; 14763.30737666015375; 0; 34775; 
berlin52_n153_uncorr_03.txt; 7544.3659000000006927; 18165.129286065079214; 0; 42652; 
berlin52_n255_uncorr_01.txt; 7544.3659000000006927; 16081.12944390861594; 0; 41518; 
berlin52_n255_uncorr_02.txt; 7544.3659000000006927; 16531.54934973267882; 0; 57685; 
berlin52_n255_uncorr_03.txt; 7544.3659000000006927; 17354.114166858482349; 0; 70436; 
berlin52_n510_uncorr_01.txt; 7544.3659000000006927; 14611.897297010777038; 0; 85187; 
berlin52_n510_uncorr_02.txt; 7544.3659000000006927; 16415.596841945538472; 0; 121222; 
berlin52_n510_uncorr_03.txt; 7544.3659000000006927; 16955.957883775194205; 0; 148200; 
berlin52_n51_uncorr_01.txt; 7544.3659000000006927; 13763.246513262469307; 0; 8625; 
berlin52_n51_uncorr_02.txt; 7544.3659000000006927; 14256.898189394407382; 0; 12813; 
berlin52_n51_uncorr_03.txt; 7544.3659000000006927; 15122.489469508069305; 0; 15571; 
